Protein A,Protein B,UniProtID A,UniProtID B,PDBID A,PDBID B
CCR3,CCL2,P51677,M4IRL4,7X9Y,No 3D Structure
DCTN1,DYNC1LI1,A0A287B8J2,Q9Y6G9,"6ZNL, 7Z8F, 8PQW, 8PQZ, 8PR0, 8PR5, 8PTK","6B9H, 6PSD, 6PSE"
APBA1,APP,B2RUJ5,A2VEY9,6LNM,No 3D Structure
APOA1,CLU,P0DMA9,A1ZAB5,No 3D Structure,No 3D Structure
CXCL5,CCL11,P42830,P51671,"2MGS, 8XWS, 8XX7","1EOT, 2EOT, 2MPM, 7SCS"
ALB,FN1,Q28522,P11276,No 3D Structure,"1MFN, 2MFN"
IKBKG,TBK1,Q9Y6K9,Q9WUN2,"2JVX, 2JVY, 3BRT, 3BRV, 3CL3, 3FX0, 4BWN, 5AAY, 5LDE, 6MI3, 6MI4, 6XX0, 6YEK, 7T2U, 7TV4, 9AZJ","4JL9, 4JLC, 6O8C"
ISCA2,IBA57,Q86U28,Q5T440,No 3D Structure,"6GEU, 6QE3, 6QE4"
JAK3,STAT5A,Q62137,P42229,No 3D Structure,"7TVA, 7TVB, 7UBT, 7UC6, 7UC7"
TIMMDC1,NDUFB6,Q9NPL8,O95139,No 3D Structure,"5XTC, 5XTD, 5XTH, 5XTI"
RAF1,YWHAB,A7E3S4,P31946,No 3D Structure,"2BQ0, 2C23, 4DNK, 5N10, 6A5Q, 6BYK, 6GN0, 6GN8, 6GNJ, 6GNK, 6GNN, 6HEP, 6YGJ, 8DP5, 8EQ8, 8EQH"
TBK1,TRAF2,Q9WUN2,Q12933,"4JL9, 4JLC, 6O8C","1CA4, 1CA9, 1CZY, 1CZZ, 1D00, 1D01, 1D0A, 1D0J, 1F3V, 1QSC, 3KNV, 3M06, 3M0A, 3M0D, 8T5Q"
RAF1,YWHAH,A7E3S4,Q04917,No 3D Structure,"2C63, 2C74, 7NMZ"
SH3GL2,SYNJ1,Q99962,O43426,"1X03, 1X04, 2D4C, 2DBM","1W80, 2DNR, 2VJ0, 7A0V, 7A17"
KIF5B,KLC4,P33176,Q9NSK0,"1BG2, 1MKJ, 2P4N, 3J8X, 3J8Y, 4HNA, 4LNU, 5LT0, 5LT1, 5LT2, 5LT3, 5LT4, 6OJQ, 7RIK, 7TR1, 7TR2, 8IXA, 8IXB, 8IXD, 8IXE, 8IXF, 8IXG, 8RHB, 8RHH, 8RIK, 8RIZ, 9GNQ",No 3D Structure
IL13RA1,TYK2,P78552,P29597,"3BPN, 3BPO, 4HWB, 5E4E","3LXN, 3LXP, 3NYX, 3NZ0, 3ZON, 4GFO, 4GIH, 4GII, 4GJ2, 4GJ3, 4GVJ, 4OLI, 4PO6, 4PY1, 4WOV, 5C01, 5C03, 5F1Z, 5F20, 5TKD, 5WAL, 6AAM, 6DBK, 6DBM, 6NSL, 6NZE, 6NZF, 6NZH, 6NZP, 6NZQ, 6NZR, 6OVA, 6VNS, 6VNV, 6VNX, 6VNY, 6X8F, 6X8G, 7AX4, 7K7O, 7K7Q, 7UYR, 7UYS, 7UYT, 7UYU, 8EXN, 8EYC, 8S98, 8S99, 8S9A, 8TB5, 8TB6"
TIMMDC1,NDUFS2,Q9NPL8,O75306,No 3D Structure,"5XTB, 5XTC, 5XTD, 5XTH, 5XTI"
BCL2L1,VDAC1,Q07817,Q9MZ16,"1BXL, 1G5J, 1LXL, 1MAZ, 1R2D, 1R2E, 1R2G, 1R2H, 1R2I, 1YSG, 1YSI, 1YSN, 2B48, 2LP8, 2LPC, 2M03, 2M04, 2ME8, 2ME9, 2MEJ, 2O1Y, 2O2M, 2O2N, 2P1L, 2PON, 2YJ1, 2YQ6, 2YQ7, 2YXJ, 3CVA, 3FDL, 3FDM, 3INQ, 3IO8, 3PL7, 3QKD, 3R85, 3SP7, 3SPF, 3WIZ, 3ZK6, 3ZLN, 3ZLO, 3ZLR, 4A1U, 4A1W, 4AQ3, 4BPK, 4C52, 4C5D, 4CIN, 4EHR, 4HNJ, 4IEH, 4PPI, 4QVE, 4QVF, 4QVX, 4TUH, 4Z9V, 5AGW, 5AGX, 5B1Z, 5C3G, 5FMJ, 5FMK, 5VAY, 5VX3, 6BF2, 6DCN, 6DCO, 6F46, 6GL8, 6HJL, 6IJQ, 6LHD, 6O0K, 6O0L, 6O0M, 6O0O, 6O0P, 6QG8, 6QGG, 6QGH, 6QGJ, 6QGK, 6RNU, 6ST2, 6UVC, 6UVD, 6UVE, 6UVF, 6UVG, 6UVH, 6VWC, 6X7I, 6YLI, 6ZHC, 7CA4, 7JGV, 7JGW, 7LH7, 7XGF, 7XGG, 7Y8D, 7YAA, 7YB7, 8FY0, 8IQK, 8IQL, 8U27, 8VWX, 8VWZ, 8VXM, 8VXN, 8WLS, 8XP5, 8ZEB, 9AQZ",No 3D Structure
TNFRSF1A,TBK1,Q15628,Q9WUN2,"1F2H, 1F3V, 5XME, 6AC0, 7CSQ","4JL9, 4JLC, 6O8C"
TIMMDC1,NDUFB8,Q9NPL8,O95169,No 3D Structure,"5XTC, 5XTD, 5XTH, 5XTI"
DNAJC19,HSPA9,Q96DA6,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
VCP,VCPKMT,P42660,Q9H867,No 3D Structure,"4LG1, 7OAT, 8HL6, 8HL7"
NCSTN,APP,P57716,A2VEY9,No 3D Structure,No 3D Structure
TLR4,IRAK1,O00206,P51617,"2Z62, 2Z63, 2Z65, 2Z66, 3FXI, 3UL7, 3UL8, 3UL9, 3ULA, 4G8A, 5NAM, 5NAO, 8WO1, 8WTA",6BFN
SNX6,SNX5,Q6P8X1,Q9Y5X3,No 3D Structure,"1SYS, 5TGH, 5TGI, 5TGJ, 5WY2, 6N5X, 6N5Y, 6N5Z, 8A1G, 8ABQ, 8AFZ"
PSEN1,NOTCH1,A0A024R6A3,P21783,No 3D Structure,No 3D Structure
KIF5A,KLC4,Q6QLM7,Q9NSK0,"2KIN, 3KIN",No 3D Structure
KLC3,KIF5A,Q91W40,Q6QLM7,No 3D Structure,"2KIN, 3KIN"
RNF31,TNFRSF1A,Q96EP0,Q15628,"2CT7, 4DBG, 4JUY, 4LJO, 4LJP, 4LJQ, 4OWF, 4OYJ, 4OYK, 4P09, 4P0A, 4P0B, 5EDV, 5LJN, 5X0W, 6GZY, 6KC5, 6KC6, 6SC5, 6SC6, 6SC7, 6SC8, 6SC9, 7TV4, 7UY2, 7UYJ, 7UYK, 7V8F, 7V8G, 8Z30, 8Z36, 9AZJ, 9B0B, 9B0Z, 9B12","1F2H, 1F3V, 5XME, 6AC0, 7CSQ"
DYNC1I1,DCTN1,O14576,A0A287B8J2,No 3D Structure,"6ZNL, 7Z8F, 8PQW, 8PQZ, 8PR0, 8PR5, 8PTK"
BCL2,BID,Q9JJV8,P55957,No 3D Structure,"1ZY3, 2BID, 2KBW, 2M5B, 2M5I, 4BD2, 4QVE, 4ZEQ, 4ZIG, 4ZII, 5AJJ, 5C3F, 7M5A, 7M5B, 7P33, 7QTW, 8SM5"
HSPA9,TP53,P38646,Q12888,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU","1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U"
TYK2,JAK1,P29597,P23458,"3LXN, 3LXP, 3NYX, 3NZ0, 3ZON, 4GFO, 4GIH, 4GII, 4GJ2, 4GJ3, 4GVJ, 4OLI, 4PO6, 4PY1, 4WOV, 5C01, 5C03, 5F1Z, 5F20, 5TKD, 5WAL, 6AAM, 6DBK, 6DBM, 6NSL, 6NZE, 6NZF, 6NZH, 6NZP, 6NZQ, 6NZR, 6OVA, 6VNS, 6VNV, 6VNX, 6VNY, 6X8F, 6X8G, 7AX4, 7K7O, 7K7Q, 7UYR, 7UYS, 7UYT, 7UYU, 8EXN, 8EYC, 8S98, 8S99, 8S9A, 8TB5, 8TB6","3EYG, 3EYH, 4E4L, 4E4N, 4E5W, 4EHZ, 4EI4, 4FK6, 4GS0, 4I5C, 4IVB, 4IVC, 4IVD, 4K6Z, 4K77, 4L00, 4L01, 5E1E, 5HX8, 5IXD, 5IXI, 5KHW, 5KHX, 5L04, 5WO4, 6AAH, 6BBU, 6C7Y, 6DBN, 6ELR, 6GGH, 6HZU, 6N77, 6N78, 6N79, 6N7A, 6N7B, 6N7C, 6N7D, 6RSB, 6RSC, 6RSD, 6RSE, 6RSH, 6SM8, 6SMB, 6TPE, 6TPF, 6W8L, 8EXJ, 8S85"
HDAC6,HSP90AB1,Q9UBN7,P08238,"3C5K, 3GV4, 3PHD, 5B8D, 5EDU, 5KH3, 5KH7, 5KH9, 5WBN, 5WPB, 6CE6, 6CE8, 6CEA, 6CEC, 6CED, 6CEE, 6CEF, 7ZYU, 8G43, 8G44, 8G45","1QZ2, 1UYM, 2L6J, 3FWV, 3NMQ, 3PRY, 3UQ3, 5FWK, 5FWL, 5FWM, 5FWP, 5UC4, 5UCH, 5UCI, 5UCJ, 6N8W, 6N8Y, 7ULJ, 7Z37, 7Z38, 7ZR0, 7ZR5, 7ZR6, 7ZUB, 8EOA, 8EOB, 8GAE, 8GFT, 8QMO"
IL12RB2,JAK2,Q99665,O60674,"8XRP, 8YI7","2B7A, 2W1I, 2XA4, 3E62, 3E63, 3E64, 3FUP, 3IO7, 3IOK, 3JY9, 3KCK, 3KRR, 3LPB, 3Q32, 3RVG, 3TJC, 3TJD, 3UGC, 3ZMM, 4AQC, 4BBE, 4BBF, 4C61, 4C62, 4D0W, 4D0X, 4D1S, 4E4M, 4E6D, 4E6Q, 4F08, 4F09, 4FVP, 4FVQ, 4FVR, 4GFM, 4GMY, 4HGE, 4IVA, 4JI9, 4JIA, 4P7E, 4YTC, 4YTF, 4YTH, 4YTI, 4Z32, 4ZIM, 5AEP, 5CF4, 5CF5, 5CF6, 5CF8, 5HEZ, 5I4N, 5L3A, 5TQ3, 5TQ4, 5TQ5, 5TQ6, 5TQ7, 5TQ8, 5USY, 5USZ, 5UT0, 5UT1, 5UT2, 5UT3, 5UT4, 5UT5, 5UT6, 5WEV, 5WIJ, 5WIK, 5WIL, 5WIM, 5WIN, 6AAJ, 6BBV, 6BRW, 6BS0, 6BSS, 6D2I, 6DRW, 6E2P, 6E2Q, 6G3C, 6M9H, 6OAV, 6OBB, 6OBF, 6OBL, 6OCC, 6TPD, 6VGL, 6VN8, 6VNB, 6VNC, 6VNE, 6VNF, 6VNG, 6VNH, 6VNI, 6VNJ, 6VNK, 6VNL, 6VNM, 6VS3, 6VSN, 6WTN, 6WTO, 6WTP, 6WTQ, 6X8E, 6XJK, 7F7W, 7JYO, 7JYQ, 7LL4, 7LL5, 7Q7I, 7Q7K, 7Q7L, 7Q7W, 7REE, 7RN6, 7SZW, 7T0P, 7T1T, 7TEU, 7UYW, 8B8N, 8B8U, 8B99, 8B9E, 8B9H, 8BA2, 8BA3, 8BA4, 8BAB, 8BAK, 8BM2, 8BPV, 8BPW, 8BX6, 8BX9, 8BXC, 8BXH, 8C08, 8C09, 8C0A, 8CZ9, 8EX0, 8EX1, 8EX2, 8EXK, 8EYA, 8EYB, 8F88, 8G6Z, 8G8O, 8G8X"
BCL2,VDAC1,Q9JJV8,Q9MZ16,No 3D Structure,No 3D Structure
TNFRSF1A,TAB2,Q15628,Q9NYJ8,"1F2H, 1F3V, 5XME, 6AC0, 7CSQ","2DAE, 2WWZ, 2WX0, 2WX1, 9AVT, 9AVW"
DCTN2,DYNC1I1,Q7K2D2,O14576,No 3D Structure,No 3D Structure
BRAF,HSP90AB1,P28028,P08238,No 3D Structure,"1QZ2, 1UYM, 2L6J, 3FWV, 3NMQ, 3PRY, 3UQ3, 5FWK, 5FWL, 5FWM, 5FWP, 5UC4, 5UCH, 5UCI, 5UCJ, 6N8W, 6N8Y, 7ULJ, 7Z37, 7Z38, 7ZR0, 7ZR5, 7ZR6, 7ZUB, 8EOA, 8EOB, 8GAE, 8GFT, 8QMO"
GCH1,GCHFR,P30793,P30047,"1FB1, 6Z80, 6Z85, 6Z86, 6Z87, 6Z88, 6Z89, 7ALA, 7ALB, 7ALC, 7ALQ","6Z80, 6Z85, 7ACC, 7AL9, 7ALA, 7ALB, 7ALC, 7ALQ"
ARAF,BRAF,P10398,P28028,"1WXM, 2MSE, 9AXM",No 3D Structure
IL23A,IL12RB1,Q9NPF7,P42701,"3D85, 3D87, 3DUH, 3QWR, 4GRW, 5MJ3, 5MJ4, 5MXA, 5MZV, 5NJD, 6UIB, 6WDQ, 8CR8, 8OE4","6WDP, 6WDQ, 8C7M, 8ODX, 8OE4, 8XRP, 8YI7"
OSM,IL6ST,O45346,P40189,No 3D Structure,"1BJ8, 1BQU, 1I1R, 1P9M, 1PVH, 3L5H, 3L5I, 3L5J, 7U7N, 8D6A, 8D74, 8D7R, 8D82, 8D85, 8DPS, 8DPT, 8DPU, 8UPA, 8V29, 8V2A"
FOXO3,TP53,Q9WVH4,Q12888,No 3D Structure,"1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U"
BDNF,SORT1,P23560,Q6NUT7,"1B8M, 1BND",No 3D Structure
FASLG,TNFRSF1A,P48023,Q15628,"4MSV, 5L19, 5L36","1F2H, 1F3V, 5XME, 6AC0, 7CSQ"
BCL2,SOD1,Q9JJV8,P15107,No 3D Structure,1XSO
HTT,TP53,P42858,Q12888,"2LD0, 2LD2, 3IO4, 3IO6, 3IOR, 3IOT, 3IOU, 3IOV, 3IOW, 3LRH, 4FE8, 4FEB, 4FEC, 4FED, 4RAV, 6EZ8, 6N8C, 6RMH, 6X9O, 6YEJ, 7DXJ, 7DXK, 8R2O, 8SAH, 8VLX, 8W15","1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U"
TRADD,TRAF6,Q3U0V2,B6CJY4,No 3D Structure,No 3D Structure
APOL1,APOA1,O14791,P0DMA9,"7L6K, 7LF7, 7LFA, 7LFB, 7LFD",No 3D Structure
ORM1,ORM2,P53224,Q06144,"8C80, 8C81, 8C82","8IAJ, 8IAK, 8IAM"
RPL11,RPL23,Q9CXW4,P62829,"6SWA, 7CPU, 7CPV, 7LS1, 7LS2","4UG0, 4V6X, 5AJ0, 5LKS, 5T2C, 6IP5, 6IP6, 6IP8, 6LQM, 6LSR, 6LSS, 6LU8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6Y6X, 6Z6L, 6Z6M, 6Z6N, 6ZM7, 6ZME, 6ZMI, 6ZMO, 7F5S, 7OW7, 7XNX, 7XNY, 8A3D, 8FKP, 8FKQ, 8FKR, 8FKS, 8FKT, 8FKU, 8FKV, 8FKW, 8FKX, 8FKY, 8FKZ, 8FL0, 8FL2, 8FL3, 8FL4, 8FL6, 8FL7, 8FL9, 8FLA, 8FLB, 8FLC, 8FLD, 8FLE, 8FLF, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IDT, 8IDY, 8IE3, 8IFD, 8IFE, 8INE, 8INF, 8INK, 8IPD, 8IPX, 8IPY, 8IR1, 8IR3, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OHD, 8OJ0, 8OJ5, 8OJ8, 8QFD, 8QOI, 8QYX, 8RL2, 8UKB, 8XSX, 8XSY, 8XSZ, 8Y0W, 8Y0X, 8YOO, 8YOP, 9C3H, 9G8M, 9GMO"
RPL11,RPS9,Q9CXW4,P46781,"6SWA, 7CPU, 7CPV, 7LS1, 7LS2","4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBW, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOK, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7MQ8, 7MQ9, 7MQA, 7QP6, 7QP7, 7R4X, 7TQL, 7WTS, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O"
RPL11,RPS18,Q9CXW4,P62269,"6SWA, 7CPU, 7CPV, 7LS1, 7LS2","4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBS, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOL, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7QP6, 7QP7, 7R4X, 7TQL, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O"
RPL23,RPS18,P62829,P62269,"4UG0, 4V6X, 5AJ0, 5LKS, 5T2C, 6IP5, 6IP6, 6IP8, 6LQM, 6LSR, 6LSS, 6LU8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6Y6X, 6Z6L, 6Z6M, 6Z6N, 6ZM7, 6ZME, 6ZMI, 6ZMO, 7F5S, 7OW7, 7XNX, 7XNY, 8A3D, 8FKP, 8FKQ, 8FKR, 8FKS, 8FKT, 8FKU, 8FKV, 8FKW, 8FKX, 8FKY, 8FKZ, 8FL0, 8FL2, 8FL3, 8FL4, 8FL6, 8FL7, 8FL9, 8FLA, 8FLB, 8FLC, 8FLD, 8FLE, 8FLF, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IDT, 8IDY, 8IE3, 8IFD, 8IFE, 8INE, 8INF, 8INK, 8IPD, 8IPX, 8IPY, 8IR1, 8IR3, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OHD, 8OJ0, 8OJ5, 8OJ8, 8QFD, 8QOI, 8QYX, 8RL2, 8UKB, 8XSX, 8XSY, 8XSZ, 8Y0W, 8Y0X, 8YOO, 8YOP, 9C3H, 9G8M, 9GMO","4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBS, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOL, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7QP6, 7QP7, 7R4X, 7TQL, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O"
NDUFS8,NDUFV1,O00217,Q91YT0,"5XTB, 5XTD, 5XTH, 5XTI","6G2J, 6G72, 6ZR2, 6ZTQ, 7AK5, 7AK6, 7B93, 7PSA, 8C2S, 8CA3, 8CA4, 8CA5, 8IAO, 8IAP, 8IB4, 8IB5, 8IB9, 8IBA, 8IBD, 8IBE, 8IC2, 8IC3, 8OLT, 8OM1, 8PW5, 8PW6, 8PW7, 8RGP, 8RGQ, 8RGR, 8RGT, 8UCA, 8XNL, 8XNM, 8XNN, 8XNO, 8XNP, 8XNQ, 8XNR, 8XNS, 8XNT, 8XNU, 8XNV, 8XNW, 8XNX, 8XNY, 8XNZ, 8XO0"
RPS18,RPS9,P62269,P46781,"4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBS, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOL, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7QP6, 7QP7, 7R4X, 7TQL, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O","4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBW, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOK, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7MQ8, 7MQ9, 7MQA, 7QP6, 7QP7, 7R4X, 7TQL, 7WTS, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O"
NDUFS1,NDUFV1,P28331,Q91YT0,"5XTB, 5XTD, 5XTH, 5XTI","6G2J, 6G72, 6ZR2, 6ZTQ, 7AK5, 7AK6, 7B93, 7PSA, 8C2S, 8CA3, 8CA4, 8CA5, 8IAO, 8IAP, 8IB4, 8IB5, 8IB9, 8IBA, 8IBD, 8IBE, 8IC2, 8IC3, 8OLT, 8OM1, 8PW5, 8PW6, 8PW7, 8RGP, 8RGQ, 8RGR, 8RGT, 8UCA, 8XNL, 8XNM, 8XNN, 8XNO, 8XNP, 8XNQ, 8XNR, 8XNS, 8XNT, 8XNU, 8XNV, 8XNW, 8XNX, 8XNY, 8XNZ, 8XO0"
